"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"42","org.apache.tools.ant.util.CompositeMapper","0","0","2","0","0","0","0","0","0","0","2","0","50","0","0","0","0","0","0","0"
"43","org.apache.tools.ant.util.regexp.RegexpUtil","0","0","3","0","0","0","0","0","0","0","3","0","20","0","0","0","0","0","0","0"
"44","org.apache.tools.ant.taskdefs.Length$ConditionHandler","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"45","org.apache.tools.ant.util.facade.ImplementationSpecificArgument","0","0","3","0","2","0","0","0","0","0","3","0","25","0","0","0","0","0","0","0.166666666666667"
"46","org.apache.tools.ant.taskdefs.DependSet$1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","org.apache.tools.ant.taskdefs.Input","0","0","9","0","0","0","0","0","0","0","8","0","201","0","1","0","0","0","0","0.388888888888886"
"48","org.apache.tools.ant.taskdefs.Get$Base64Converter","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"49","org.apache.tools.bzip2.CRC","0","0","8","0","0","0","0","0","0","0","0","0","1114","0","0","0","0","0","0","0.125"
"50","org.apache.tools.ant.types.FilterChain","0","0","25","0","1","0","0","0","0","0","25","0","189","0","0","0","0","0","0","0.0200000000000005"
"51","org.apache.tools.ant.taskdefs.Replace$Replacefilter","0","0","14","0","0","0","0","0","0","0","9","0","276","0","1","0","0","0","0","0.25"
"52","org.apache.tools.ant.taskdefs.Execute","0","0","34","0","0","0","0","0","0","0","25","0.00754296208841654","1113","0.0086580086580087","7","0","0","0","0","0.308823529411764"
"53","org.apache.tools.ant.types.resources.FileResource","0","0","24","0","1","4","0","0","4","0","22","0","397","0","1","0","0","0","0","0.0833333333333339"
"54","org.apache.tools.ant.taskdefs.Cvs","0","0","1","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0"
"55","org.apache.tools.zip.ZipEntry","0","0","27","0","0","0","0","0","0","0","23","0.0525030525030524","407","0","0","0","0","0","0","0.12962962962963"
"56","org.apache.tools.ant.types.RegularExpression","0","0","8","0","0","0","0","0","0","0","5","0","110","0","2","0","0","0","0","0.375"
"57","org.apache.tools.ant.taskdefs.Classloader","0","0","10","0","0","0","0","0","0","0","10","0","265","0","1","0","0","0","0","0.300000000000001"
"58","org.apache.tools.ant.taskdefs.Javadoc$1","0","0","2","0","0","0","0","0","0","0","1","0","25","0","1","0","0","0","0","0.25"
"59","org.apache.tools.ant.types.resources.Sort$SortedBag$MyIterator","0","0","5","0","0","0","0","0","0","0","3","0","75","0","1","0","0","0","0","0.4"
"60","org.apache.tools.ant.taskdefs.MacroDef$Attribute","0","0","9","0","0","0","0","0","0","0","9","0","111","0","0","0","0","0","0","0.166666666666666"
"61","org.apache.tools.ant.types.selectors.SizeSelector","0","0","8","0","0","0","-1","0","0","0","8","0.312333629103815","323","0.298136645962733","1","0","0","0","0","-1.0625"
"62","org.apache.tools.tar.TarEntry","0","0","35","0","0","0","0","0","0","0","34","0","776","0","0","0","0","0","0","0.257142857142856"
"63","org.apache.tools.ant.filters.TokenFilter$FileTokenizer","0","0","1","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0"
"64","org.apache.tools.ant.taskdefs.compilers.AptExternalCompilerAdapter","0","0","3","0","0","0","0","0","0","0","2","0","51","0","0","0","0","0","0","0"
"65","org.apache.tools.ant.taskdefs.rmic.XNewRmic","0","0","2","0","0","0","0","0","0","0","1","0","19","0","0","0","0","0","0","0.25"
"66","org.apache.tools.ant.taskdefs.email.PlainMailer","0","0","3","0","1","0","0","0","0","0","1","0","251","0","0","0","0","0","0","0"
"67","org.apache.tools.ant.taskdefs.condition.FilesMatch","0","0","6","0","0","0","0","0","0","0","5","0","71","0","1","0","0","0","0","0.333333333333334"
"68","org.apache.tools.ant.taskdefs.Sync$SyncTarget","0","0","2","0","0","0","0","0","0","0","2","0","10","0","0","0","0","0","0","0"
