"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","org.apache.tools.ant.taskdefs.cvslib.CvsVersion","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","org.apache.tools.ant.types.resources.Resources","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","org.apache.tools.ant.TypeAdapter","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","org.apache.tools.ant.taskdefs.condition.IsSigned","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","org.apache.tools.ant.taskdefs.XSLTLoggerAware","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","org.apache.tools.ant.taskdefs.CopyPath","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","org.apache.tools.ant.taskdefs.GUnzip","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","org.apache.tools.ant.taskdefs.Move","0","0","0","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0.555555555555557"
"9","org.apache.tools.ant.taskdefs.condition.Equals","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","org.apache.tools.ant.types.selectors.SizeSelector$SizeComparisons","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","org.apache.tools.ant.util.regexp.RegexpMatcherFactory","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","org.apache.tools.ant.types.ArchiveFileSet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","org.apache.tools.ant.taskdefs.condition.IsTrue","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","org.apache.tools.ant.taskdefs.FixCRLF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","org.apache.tools.ant.taskdefs.Recorder","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","org.apache.tools.ant.taskdefs.Untar","-1","-20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","org.apache.tools.ant.filters.FixCrLfFilter$SimpleFilterReader","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","org.apache.tools.ant.filters.TokenFilter","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","org.apache.tools.ant.taskdefs.TaskOutputStream","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","org.apache.tools.ant.DynamicElement","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","org.apache.tools.ant.taskdefs.compilers.Gcj","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","org.apache.tools.ant.util.XMLFragment$Child","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","org.apache.tools.ant.input.GreedyInputHandler","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","org.apache.tools.ant.taskdefs.TempFile","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","org.apache.tools.ant.types.resources.First","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","org.apache.tools.ant.types.resources.Sort$SortedBag$MutableInt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","org.apache.tools.ant.helper.SingleCheckExecutor","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","org.apache.tools.ant.taskdefs.Checksum$FormatElement","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","org.apache.tools.ant.taskdefs.SQLExec$OnError","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","org.apache.tools.ant.Diagnostics","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","org.apache.tools.ant.taskdefs.GenerateKey$DistinguishedName","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","org.apache.tools.ant.taskdefs.Javadoc$GroupArgument","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","org.apache.tools.ant.taskdefs.MacroDef$Text","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","org.apache.tools.ant.taskdefs.Exit$NestedCondition","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","org.apache.tools.ant.types.CommandlineJava$SysProperties","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","org.apache.tools.ant.taskdefs.Execute$OS2CommandLauncher","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","org.apache.tools.ant.types.resources.FileResourceIterator","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","org.apache.tools.ant.taskdefs.condition.Contains","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","org.apache.tools.ant.taskdefs.XSLTProcess","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
