"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","org.apache.tools.ant.taskdefs.cvslib.CvsVersion","0","0","-7","0","0","0","0","0","0","0","-7","0","-210","0","0","0","0","0","0","-0.428571428571431"
"2","org.apache.tools.ant.types.resources.Resources","0","0","-13","0","0","0","0","0","0","0","-6","0","-243","0","-1","0","0","0","0","-0.192307692307693"
"3","org.apache.tools.ant.TypeAdapter","0","0","-5","0","0","0","0","0","0","0","-5","0","-5","0","0","0","0","0","0","0"
"4","org.apache.tools.ant.taskdefs.condition.IsSigned","0","0","-5","0","0","0","0","0","0","0","-5","0","-200","0","0","0","0","0","0","-0.199999999999996"
"5","org.apache.tools.ant.taskdefs.XSLTLoggerAware","0","0","-1","0","0","0","0","0","0","0","-1","0","-1","0","0","0","0","0","0","0"
"6","org.apache.tools.ant.taskdefs.GUnzip","0","0","-5","0","0","0","0","0","0","0","-1","-0.0416666666666667","-138","-0.166666666666667","0","0","0","0","0","-0.199999999999999"
"7","org.apache.tools.ant.taskdefs.CopyPath","0","0","-11","0","0","0","0","0","0","0","-9","0","-265","0","-3","0","0","0","0","-0.40909090909091"
"8","org.apache.tools.ant.taskdefs.Move","0","0","-9","0","0","0","-3","0","0","0","-1","0","-832","0","0","0","0","0","0","-1.22222222222223"
"9","org.apache.tools.ant.taskdefs.condition.Equals","0","0","-6","0","0","0","0","0","0","0","-6","0","-74","0","0","0","0","0","0","-0.333333333333334"
"10","org.apache.tools.ant.types.selectors.SizeSelector$SizeComparisons","0","0","-1","0","0","0","0","0","0","0","-1","0","-4","0","0","0","0","0","0","0"
"11","org.apache.tools.ant.util.regexp.RegexpMatcherFactory","0","0","-8","0","-1","0","0","0","0","0","-4","0","-174","0","0","0","0","0","0","-0.125"
"12","org.apache.tools.ant.types.ArchiveFileSet","0","0","-34","0","-2","0","-3","0","0","0","-29","0","-610","0","-1","0","0","0","0","-0.48529411764706"
"13","org.apache.tools.ant.taskdefs.condition.IsTrue","0","0","-3","0","0","0","0","0","0","0","-3","0","-30","0","0","0","0","0","0","-0.166666666666668"
"14","org.apache.tools.ant.taskdefs.FixCRLF","0","0","-21","0","0","0","1","0","0","0","-16","0","-458","0","-2","0","0","0","0","-0.238095238095241"
"15","org.apache.tools.ant.taskdefs.Recorder","0","0","-20","0","0","0","0","0","0","0","-17","0","-207","0","0","0","0","0","0","-0.149999999999999"
"16","org.apache.tools.ant.taskdefs.Untar","0","0","-6","0","0","0","0","0","0","0","-3","0","-180","0","-1","0","0","0","0","-0.0833333333333357"
"17","org.apache.tools.ant.filters.FixCrLfFilter$SimpleFilterReader","0","0","-16","0","-6","0","0","0","0","0","-16","-0.144444444444444","-196","0","0","0","0","0","0","-0.09375"
"18","org.apache.tools.ant.filters.TokenFilter","0","0","-19","0","0","0","0","0","0","0","-19","0","-317","0","-1","0","0","0","0","-0.131578947368421"
"19","org.apache.tools.ant.taskdefs.TaskOutputStream","0","0","-3","0","0","0","0","0","0","0","-1","0","-67","0","-1","0","0","0","0","-0.5"
"20","org.apache.tools.ant.DynamicElement","0","0","-1","0","0","0","0","0","0","0","-1","0","-1","0","0","0","0","0","0","0"
"21","org.apache.tools.ant.taskdefs.compilers.Gcj","0","0","-5","0","0","0","0","0","0","0","-3","0","-217","0","0","0","0","0","0","-0.0999999999999943"
"22","org.apache.tools.ant.util.XMLFragment$Child","0","0","-4","0","0","0","0","0","0","0","-3","0","-71","0","-1","0","0","0","0","-0.25"
"23","org.apache.tools.ant.input.GreedyInputHandler","0","0","-2","0","0","0","0","0","0","0","-2","0","-79","0","0","0","0","0","0","-0.25"
"24","org.apache.tools.ant.taskdefs.TempFile","0","0","-11","0","0","0","-2","-13","0","0","-10","-0.0303571428571429","-117","0","-1","0.0365612648221344","0.00624999999999998","0","0","-0.666666666666666"
"25","org.apache.tools.ant.types.resources.First","0","0","-2","-1","0","1","2","-1","0","1","-1","-1.33333333333333","-34","0","0","-0.0453900709219858","-0.375","0","0","-1.58333333333333"
"26","org.apache.tools.ant.types.resources.Sort$SortedBag$MutableInt","0","0","-4","0","0","0","0","0","0","0","0","0","-30","0","-1","0","0","0","0","-0.25"
"27","org.apache.tools.ant.helper.SingleCheckExecutor","0","0","-3","0","0","-1","0","0","-1","0","-3","0","-17","0","0","0","0","0","0","0"
"28","org.apache.tools.ant.taskdefs.Checksum$FormatElement","0","0","-5","0","0","0","0","0","0","0","-4","0","-71","0","0","0","0","0","0","-0.4"
"29","org.apache.tools.ant.taskdefs.SQLExec$OnError","0","0","-2","0","0","0","0","0","0","0","-2","0","-20","0","0","0","0","0","0","0"
"30","org.apache.tools.ant.taskdefs.GenerateKey$DistinguishedName","0","0","-5","0","0","0","0","0","0","0","-5","0","-128","0","0","0","0","0","0","-0.100000000000001"
"31","org.apache.tools.ant.Diagnostics","0","0","-31","0","0","0","0","0","0","0","-5","0","-1055","0","0","0","0","0","0","-0.161290322580641"
"32","org.apache.tools.ant.taskdefs.Javadoc$GroupArgument","0","0","-7","0","0","0","0","0","0","0","-7","0","-104","0","-2","0","0","0","0","-0.214285714285714"
"33","org.apache.tools.ant.taskdefs.MacroDef$Text","0","0","-13","0","0","0","-2","-17","0","0","-13","-0.0333333333333333","-119","0","0","0","-0.00174825174825172","0","0","0.549242424242426"
"34","org.apache.tools.ant.taskdefs.Exit$NestedCondition","0","0","-3","0","0","0","0","0","0","0","-1","0","-25","0","0","0","0","0","0","0"
"35","org.apache.tools.ant.types.CommandlineJava$SysProperties","0","0","-10","0","0","0","0","0","0","0","-9","0","-261","0","0","0","0","0","0","-0.100000000000001"
"36","org.apache.tools.ant.taskdefs.Execute$OS2CommandLauncher","0","0","-2","0","0","0","0","0","0","0","-1","0","-79","0","0","0","0","0","0","0"
"37","org.apache.tools.ant.types.resources.FileResourceIterator","0","0","-8","0","0","-1","0","0","-1","0","-8","0","-109","0","0","0","0","0","0","-0.1875"
"38","org.apache.tools.ant.taskdefs.condition.Contains","0","0","-5","0","0","0","0","0","0","0","-5","0","-64","0","0","0","0","0","0","-0.300000000000001"
"39","org.apache.tools.ant.taskdefs.XSLTProcess","0","0","-44","0","0","0","0","0","0","0","-31","0","-1308","0","-9","0","0","0","0","-0.306818181818183"
"40","org.apache.tools.ant.ExitException","0","0","-3","0","0","0","0","0","0","0","-3","-0.75","-29","0","0","0","0","0","0","-0.166666666666666"
"41","org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter","0","0","-25","0","-10","0","0","0","0","0","-3","-0.00951086956521741","-1171","0","-9","0","0","0","0","-0.420000000000002"
"42","org.apache.tools.ant.taskdefs.Recorder$VerbosityLevelChoices","0","0","-1","0","0","0","0","0","0","0","-1","0","-4","0","0","0","0","0","0","0"
"43","org.apache.tools.ant.taskdefs.email.EmailTask","0","0","-34","0","-1","0","0","0","0","0","-32","-0.00326340326340324","-923","-0.00923076923076926","-3","0","0","0","0","-0.367647058823529"
"44","org.apache.tools.ant.taskdefs.SQLExec$DelimiterType","0","0","-2","0","0","0","0","0","0","0","-2","0","-18","0","0","0","0","0","0","-0.5"
"45","org.apache.tools.ant.types.resources.StringResource","0","0","-22","0","0","-1","-8","-83","-1","0","-17","0.00297619047619047","-223","0","0","0.0445659028799663","0.0328869047619048","0","-2","0.354449472096531"
