"","Nome Da CLasse","Possui Violacao","Numero de Violacoes","WMC","DIT","NOC","CBO","RFC","LCOM","CA","CE","CPM","LCOM3","LOC","DAM","MOA","MFA","CAM","IC","CBM","AMC"
"46","org.apache.tools.ant.taskdefs.Javac","-1","-8","2","0","0","0","2","155","0","0","2","0.000440998784108859","13","0","0","-0.00624924888835476","0.000174216027874541","0","0","-0.168597560975609"
"47","org.apache.tools.ant.types.resources.FileResource","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","org.apache.tools.ant.types.selectors.FileSelector","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","org.apache.tools.ant.taskdefs.Javadoc","-1","-12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","org.apache.tools.ant.taskdefs.Taskdef","-1","-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","org.apache.tools.ant.types.Resource","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","org.apache.tools.ant.taskdefs.email.UUMailer","0","-31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","org.apache.tools.ant.taskdefs.Rmic","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","org.apache.tools.ant.taskdefs.LoadFile","-1","-92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","org.apache.tools.ant.taskdefs.ExecuteOn","1","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","org.apache.tools.ant.taskdefs.Typedef","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","org.apache.tools.ant.taskdefs.Definer","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","org.apache.tools.ant.util.CollectionUtils","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","org.apache.tools.ant.types.selectors.SelectorUtils","0","-13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","org.apache.tools.ant.taskdefs.email.Mailer","1","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","org.apache.tools.ant.util.FileUtils","0","-8","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"62","org.apache.tools.ant.taskdefs.PreSetDef","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","org.apache.tools.ant.BuildException","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","org.apache.tools.ant.types.resources.selectors.Type","-1","-1","0","0","0","-1","0","0","-1","0","0","0","0","0","0","0","0","0","0","0"
"65","org.apache.tools.ant.types.resources.selectors.And","-1","-1","0","0","0","-1","0","0","-1","0","0","0","0","0","0","0","0","0","0","0"
"66","org.apache.tools.ant.types.resources.FileResource","0","-4","0","0","1","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"67","org.apache.tools.ant.types.resources.selectors.Or","-1","-1","0","0","0","-1","0","0","-1","0","0","0","0","0","0","0","0","0","0","0"
"68","org.apache.tools.ant.types.Resource","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","org.apache.tools.ant.Project","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","org.apache.tools.ant.util.SourceFileScanner","1","1","0","0","0","1","-4","6","1","1","0","0.111111111111111","-8","0","0","0","0","0","0","-1.14285714285714"
"71","org.apache.tools.ant.types.Reference","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","org.apache.tools.ant.BuildException","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","org.apache.tools.ant.types.resources.JavaResource","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
