,org.apache.tools.ant.util.StringUtils,0,1,0,0,0,1,-2,0,1,0,0,0,18,0,0,0,0,0,0,2
1,org.apache.tools.ant.BuildException,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,org.apache.tools.ant.BuildException,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,org.apache.tools.ant.types.Resource,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,org.apache.tools.ant.types.resources.Union,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,org.apache.tools.ant.types.resources.BaseResourceCollectionContainer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,org.apache.tools.ant.BuildException,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,org.apache.tools.ant.types.resources.JavaResource,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,org.apache.tools.ant.util.StringUtils,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,org.apache.tools.ant.taskdefs.Untar,-1,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,org.apache.tools.ant.taskdefs.Javac,-1,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,org.apache.tools.ant.types.resources.FileResource,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,org.apache.tools.ant.types.selectors.FileSelector,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,org.apache.tools.ant.taskdefs.Javadoc,-1,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,org.apache.tools.ant.taskdefs.Taskdef,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,org.apache.tools.ant.types.Resource,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,org.apache.tools.ant.taskdefs.email.UUMailer,0,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,org.apache.tools.ant.taskdefs.Rmic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,org.apache.tools.ant.taskdefs.LoadFile,-1,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,org.apache.tools.ant.taskdefs.ExecuteOn,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,org.apache.tools.ant.taskdefs.Typedef,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
