org.apache.lucene.index.MergePolicy$MergeException ; 0 ; 0 ; 3 ; 4 ; 0 ; 3 ; 5 ; 0 ; 2 ; 1 ; 3 ; 0.0 ; 21 ; 1.0 ; 1 ; 0.9545454545454546 ; 0.5833333333333334 ; 0 ; 0 ; 5.666666666666667 ; #
org.apache.lucene.search.FieldCache$IntParser ; 0 ; 0 ; 1 ; 1 ; 0 ; 12 ; 1 ; 0 ; 10 ; 2 ; 1 ; 2.0 ; 1 ; 0.0 ; 0 ; 0.0 ; 1.0 ; 0 ; 0 ; 0.0 ; #
org.apache.lucene.store.DataOutput ; 0 ; 0 ; 14 ; 1 ; 2 ; 7 ; 33 ; 89 ; 4 ; 3 ; 13 ; 0.9487179487179488 ; 391 ; 0.6666666666666666 ; 0 ; 0.0 ; 0.2564102564102564 ; 0 ; 0 ; 26.714285714285715 ; #
org.apache.lucene.search.spans.NearSpansUnordered$SpansCell ; 0 ; 0 ; 13 ; 0 ; 0 ; 3 ; 32 ; 0 ; 2 ; 2 ; 9 ; 0.7000000000000001 ; 156 ; 0.8 ; 3 ; 0.0 ; 0.23076923076923078 ; 0 ; 0 ; 10.615384615384615 ; #
org.apache.lucene.util.OpenBitSetIterator ; 0 ; 0 ; 7 ; 0 ; 0 ; 2 ; 10 ; 3 ; 1 ; 2 ; 5 ; 0.5416666666666666 ; 1314 ; 1.0 ; 0 ; 0.0 ; 0.4166666666666667 ; 0 ; 0 ; 185.57142857142858 ; #
org.apache.lucene.index.CompoundFileReader$CSIndexInput ; 0 ; 0 ; 8 ; 0 ; 0 ; 4 ; 18 ; 0 ; 1 ; 3 ; 4 ; 0.3333333333333333 ; 132 ; 0.0 ; 1 ; 0.0 ; 0.375 ; 0 ; 0 ; 15.125 ; #
org.apache.lucene.document.Fieldable ; 0 ; 0 ; 22 ; 1 ; 0 ; 22 ; 22 ; 231 ; 21 ; 1 ; 22 ; 2.0 ; 22 ; 0.0 ; 0 ; 0.0 ; 0.29545454545454547 ; 0 ; 0 ; 0.0 ; #
org.apache.lucene.search.FilteredTermsEnum$AcceptStatus ; 0 ; 0 ; 4 ; 2 ; 0 ; 10 ; 7 ; 4 ; 9 ; 1 ; 2 ; 0.9444444444444443 ; 78 ; 0.16666666666666666 ; 6 ; 0.8666666666666667 ; 0.4444444444444444 ; 1 ; 1 ; 17.0 ; #
org.apache.lucene.search.payloads.PayloadSpanUtil ; 0 ; 0 ; 4 ; 1 ; 0 ; 15 ; 36 ; 4 ; 0 ; 15 ; 2 ; 0.3333333333333333 ; 359 ; 1.0 ; 1 ; 0.0 ; 0.5 ; 0 ; 0 ; 88.5 ; #
org.apache.lucene.index.InvertedDocEndConsumerPerThread ; 0 ; 0 ; 5 ; 1 ; 1 ; 8 ; 6 ; 10 ; 6 ; 3 ; 0 ; 2.0 ; 8 ; 0.0 ; 0 ; 0.0 ; 0.4666666666666667 ; 0 ; 0 ; 0.6 ; #
